molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4470611,COc1cnc(-c2ccccn2)nc1NC(=O)c1ccccc1,50000.0
CHEMBL4524707,COc1cnc(-c2ccccn2)nc1NC(C)=O,50000.0
CHEMBL4529608,COc1cnc(-c2ccccn2)nc1N,50000.0
CHEMBL4450137,COc1cnc(-c2ccccn2)nc1,50000.0
CHEMBL4456049,COc1cnc(-c2cccnc2)nc1NC(C)C,50000.0
CHEMBL4474155,COc1cnc(-c2cnccn2)nc1NC(C)C,50000.0
CHEMBL4455334,COc1cnc(-c2ccccn2)nc1NCCc1ccccc1,50000.0
CHEMBL4552704,CCCCNc1nc(-c2ccccn2)ncc1OC,50000.0
CHEMBL4531512,CCCNc1nc(-c2ccccn2)ncc1OC,50000.0
CHEMBL4574184,COc1cnc(-c2ccccn2)nc1N(C)CC(C)C,50000.0
CHEMBL4469743,COc1cnc(-c2ccccn2)nc1N(C)C(C)C,50000.0
CHEMBL4470649,CCN(C)c1nc(-c2ccccn2)ncc1OC,50000.0
CHEMBL4443300,COc1cnc(-c2ccccn2)nc1NCCCc1ccccc1,50000.0
CHEMBL4452382,COc1cnc(-c2ncccn2)nc1NC(C)C,50000.0
CHEMBL4571304,COc1cnc(-c2ncccn2)nc1Cl,50000.0
CHEMBL4464341,COc1cnc(-c2ncccn2)nc1O,50000.0
CHEMBL4454125,COc1ccc(-c2ncc(OC)c(NC(C)C)n2)nc1,50000.0
CHEMBL2070121,COc1cnc(-c2ccccn2)nc1N1CCOCC1,50000.0
CHEMBL2070117,COc1cnc(-c2ccccn2)nc1N1CCCCC1,50000.0
CHEMBL4460803,CCN(CC)c1nc(-c2ccccn2)ncc1OC,50000.0
CHEMBL1381135,COc1cnc(-c2ccccn2)nc1N(C)C,50000.0
CHEMBL4462684,COc1cnc(-c2ccccn2)nc1NCC1CCCCC1,50000.0
CHEMBL2070126,COc1cnc(-c2ccccn2)nc1NCc1ccccc1,50000.0
CHEMBL4449788,COc1cnc(-c2ccccn2)nc1NCC1CC1,50000.0
CHEMBL4483447,COc1cnc(-c2ccccn2)nc1NCC(C)C,50000.0
CHEMBL4449066,CCNc1nc(-c2ccccn2)ncc1OC,50000.0
CHEMBL4517219,COc1cnc(-c2ccn[nH]2)nc1NC(C)C,50000.0
CHEMBL4517808,COc1cnc(-c2ccc[nH]2)nc1NC(C)C,50000.0
CHEMBL4534138,COc1cnc(-c2ccncc2)nc1NC(C)C,50000.0
CHEMBL4537605,COc1cnc(-c2ccccc2)nc1NC(C)C,50000.0
CHEMBL4553178,Cc1ccc2cc(Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)ccc2n1,50000.0
CHEMBL4520215,CN(c1ccccc1)c1nc(N2CCOCC2)nc(-n2ccnc2)n1,50000.0
CHEMBL4561652,c1ccc(N(c2ccccc2)c2nc(N3CCOCC3)nc(-n3ccnc3)n2)cc1,50000.0
CHEMBL4467541,COc1ccc(O)c(/C=N/Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)c1,50000.0
CHEMBL3211873,C/C(=N\Nc1cc(N2CCOCC2)nc(C)n1)c1ccc(F)cc1,40000.0
CHEMBL4564078,Oc1ccccc1/C=N/Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL1997922,Cc1nc(N/N=C/c2ccc(O)cc2O)cc(N2CCOCC2)n1,40000.0
CHEMBL1890161,Oc1cccc(/C=N/Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)c1,40000.0
CHEMBL2375628,Cc1nc(-c2ccccn2)nc(NCCNc2ccc(C(F)(F)F)cn2)c1Cl,40000.0
CHEMBL1571801,Nc1nc(-c2ccccn2)nc(N)c1Cc1ccccc1F,40000.0
CHEMBL460431,Cc1nc(-c2ccccn2)nc(NCCNc2cc(C(F)(F)F)ccn2)c1Cl,40000.0
CHEMBL578675,COc1cnc(-c2ccccn2)nc1NC(C)C,50000.0
CHEMBL4475019,COc1cnc(-c2ccccn2)nc1NS(=O)(=O)c1ccccc1,50000.0
CHEMBL4526614,CNC(=O)Nc1nc(-c2ccccn2)ncc1OC,50000.0
CHEMBL4441628,COc1cnc(-c2ccccn2)nc1NC(=O)NC(C)C,50000.0
CHEMBL4532107,COc1cnc(-c2ccccn2)nc1NC(=O)Nc1ccccc1,50000.0
CHEMBL4515719,CC(C)Nc1nc(-c2ccccn2)ncc1OC(C)C,50000.0
CHEMBL4470354,CC(C)Nc1nc(CN)ncc1OC(C)C,50000.0
CHEMBL4591071,Oc1nc(-c2ccccn2)ncc1Cc1ccccc1F,50000.0
CHEMBL4451446,Oc1nc(-c2cccnc2)ncc1Cc1ccccc1F,50000.0
CHEMBL4443531,Fc1ccccc1Cc1cnc(-c2ccccn2)nc1Cl,50000.0
CHEMBL4544961,Fc1ccccc1Cc1cnc(-c2cccnc2)nc1Cl,50000.0
CHEMBL4450814,CC(C)Nc1nc(-c2ccccn2)ncc1Cc1ccccc1F,50000.0
CHEMBL4467549,CNc1nc(-c2ccccn2)ncc1Cc1ccccc1F,50000.0
CHEMBL4453771,CCN(CC)c1nc(-c2ccccn2)ncc1Cc1ccccc1F,50000.0
CHEMBL4519065,Fc1ccccc1Cc1cnc(-c2ccccn2)nc1NCC1CCCCC1,50000.0
CHEMBL4472028,Fc1ccccc1Cc1cnc(-c2ccccn2)nc1N1CCOCC1,50000.0
CHEMBL4517266,Fc1ccccc1Cc1cnc(-c2ccccn2)nc1N1CCCCC1,50000.0
CHEMBL4446135,CN(Cc1ccccc1)c1nc(-c2ccccn2)ncc1Cc1ccccc1F,50000.0
CHEMBL4522502,CC(C)Nc1nc(-c2cccnc2)ncc1Cc1ccccc1F,50000.0
CHEMBL4568971,CN1CCN(c2nc(-c3ccccn3)ncc2Cc2ccccc2F)CC1,50000.0
CHEMBL4550431,Oc1nc(-c2ccccn2)nc(O)c1Cc1ccccc1,50000.0
CHEMBL4445581,Oc1nc(-c2ccccn2)nc(O)c1Cc1ccccc1F,50000.0
CHEMBL4453977,Clc1nc(-c2ccccn2)nc(Cl)c1Cc1ccccc1,50000.0
CHEMBL4552173,Fc1ccccc1Cc1c(Cl)nc(-c2ccccn2)nc1Cl,50000.0
CHEMBL4533373,Fc1ccc(-c2nc(Cl)c(Cc3ccccc3F)c(Cl)n2)nc1,50000.0
CHEMBL4531026,Nc1nc(-c2ccccn2)nc(Cl)c1Cc1ccccc1,50000.0
CHEMBL4449732,Nc1nc(-c2ccccn2)nc(Cl)c1Cc1ccccc1F,50000.0
CHEMBL4557014,CC(C)Nc1nc(-c2ccccn2)nc(N)c1Cc1ccccc1,50000.0
CHEMBL4460828,CC(C)Nc1nc(-c2ccccn2)nc(N)c1Cc1ccccc1F,50000.0
CHEMBL4460884,Nc1nc(-c2ccccn2)nc(N2CCOCC2)c1Cc1ccccc1,50000.0
CHEMBL4437629,Nc1nc(-c2ccccn2)nc(N2CCOCC2)c1Cc1ccccc1F,50000.0
CHEMBL4435094,CC(C)Nc1nc(-c2ccccn2)nc(NC(C)C)c1Cc1ccccc1F,50000.0
CHEMBL4524208,c1ccc(Cc2c(N3CCOCC3)nc(-c3ccccn3)nc2N2CCOCC2)cc1,50000.0
CHEMBL4518831,Fc1ccccc1Cc1c(N2CCOCC2)nc(-c2ccccn2)nc1N1CCOCC1,50000.0
CHEMBL4451325,Nc1nc(-c2ccc(N3CCOCC3)cn2)nc(N2CCOCC2)c1Cc1ccccc1F,50000.0
CHEMBL4446957,Nc1nc(-c2ccccn2)nc(N)c1Cc1ccccc1,50000.0
CHEMBL4531324,CCOc1ccccc1Cc1c(N)nc(-c2ccccn2)nc1N,50000.0
CHEMBL4567139,COc1ccc(C)cc1Cc1c(N)nc(-c2ccccn2)nc1N,50000.0
CHEMBL4531199,COc1ccc(Cc2c(N)nc(-c3ccccn3)nc2N)c(OC)c1,50000.0
CHEMBL4526262,COc1cccc(Cc2c(N)nc(-c3ccccn3)nc2N)c1,50000.0
CHEMBL4532397,Cc1ccccc1Cc1c(N)nc(-c2ccccn2)nc1N,50000.0
CHEMBL4475428,Cc1cccc(Cc2c(N)nc(-c3ccccn3)nc2N)c1,50000.0
CHEMBL4522436,Nc1nc(-c2ccccn2)nc(N)c1Cc1cccc(F)c1,50000.0
CHEMBL4526371,Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(F)cc1,50000.0
CHEMBL4564371,Nc1nc(-c2ccccn2)nc(N)c1Cc1cccc(Cl)c1,50000.0
CHEMBL4453226,Nc1nc(-c2ccccn2)nc(N)c1Cc1cc(F)ccc1F,50000.0
CHEMBL4470473,COc1ccc(Cc2c(N)nc(-c3ccccn3)nc2N)c(F)c1,50000.0
CHEMBL4445404,COc1ccc(Cc2c(N)nc(-c3ccccn3)nc2N)cc1,50000.0
CHEMBL4518732,COc1ccc(-c2nc(N)c(Cc3ccccc3F)c(N)n2)nc1,50000.0
CHEMBL4526789,CCCOc1ccc(-c2nc(N)c(Cc3ccccc3F)c(N)n2)nc1,50000.0
CHEMBL4557696,Cc1cccc(-c2nc(N)c(Cc3ccccc3F)c(N)n2)n1,50000.0
CHEMBL4465420,Nc1nc(-c2cccc(C(F)(F)F)n2)nc(N)c1Cc1ccccc1F,50000.0
CHEMBL4549011,Oc1cc(O)nc(-c2ccccn2)n1,50000.0
CHEMBL4482937,Nc1cc(Cl)nc(-c2ccccn2)n1,50000.0
CHEMBL4532264,CC(C)Nc1cc(N)nc(-c2ccccn2)n1,50000.0
CHEMBL602180,COc1cnc(-c2ccccn2)nc1N1CCCC1,50000.0
CHEMBL4458195,COc1cnc(-c2ccccn2)nc1N1CCN(C)CC1,50000.0
CHEMBL1534781,COc1cnc(-c2ccccn2)nc1N(C)c1ccccc1,50000.0
CHEMBL1388295,COc1cnc(-c2ccccn2)nc1Oc1ccccc1,50000.0
CHEMBL4439692,COc1ccccc1Cc1c(N)nc(-c2ccccn2)nc1N,50000.0
CHEMBL1299757,Nc1nc(-c2ccccn2)nc(N)c1Cc1ccc(Cl)cc1Cl,50000.0
CHEMBL4546747,Cc1nc(N/N=C/c2ccccc2O)cc(N2CCOCC2)n1,50000.0
CHEMBL4452191,C(=N/Nc1cc(N2CCOCC2)nc(N2CCOCC2)n1)\c1ccccc1,50000.0
CHEMBL4544940,Oc1ccc(/C=N/Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)c(O)c1,50000.0
CHEMBL4439708,O=C(NNc1cc(N2CCOCC2)nc(N2CCOCC2)n1)c1ccccc1O,50000.0
CHEMBL4444669,Oc1ccccc1CCOc1cc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL4436076,Oc1ccccc1CCNc1cc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL4585095,[Na+].[O-]c1ccccc1-c1ncn(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)n1,50000.0
CHEMBL4473241,Oc1ccccc1CN1CCN(c2cc(N3CCOCC3)nc(N3CCOCC3)n2)CC1,50000.0
CHEMBL4520748,Oc1ccccc1/C=N/Nc1nc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL4436018,Oc1ccc(/C=N/Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)c(O)c1,50000.0
CHEMBL4474375,Nc1nc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL4438565,Oc1ccccc1CCOc1nc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL4450610,Cc1nc(N/N=C/c2ccc(O)cc2O)nc(N2CCOCC2)n1,50000.0
CHEMBL4534251,Fc1ccc(C(CN2CCN(c3cnccn3)CC2)NCc2ccccn2)cc1,50000.0
CHEMBL4468290,O=C(C1CCCO1)N1CCN(CC(NCc2ccccn2)c2ccc(F)cc2)CC1,100000.0
CHEMBL4550167,O=C(C1CCCO1)N1CCN(CC(NCc2ccccn2)c2ccccc2)CC1,50000.0
CHEMBL4435284,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4519345,c1ccc(C(CN2CCC(N3CCCCC3)CC2)NCCN2CCOCC2)cc1,100000.0
CHEMBL4536829,COc1ccc(CNC(CN2CCC(N3CCCCC3)CC2)c2ccccc2)cc1,100000.0
CHEMBL4476704,O=C(C1CCCO1)N1CCN(CC(NCc2ccccc2)c2ccccc2)CC1,100000.0
CHEMBL4563946,Fc1ccc(C(CN2CCN(c3cnccn3)CC2)NCc2ccccc2)cc1,50000.0
CHEMBL4532259,Fc1ccc(C(CN2CCN(c3cnccn3)CC2)NCc2cccs2)cc1,50000.0
CHEMBL4582635,Clc1ccc(C(CN2CCN(c3cnccn3)CC2)NCc2ccccn2)cc1,100000.0
CHEMBL4452535,Fc1ccc(C(CN2CCN(c3ccccc3)CC2)NCc2ccccn2)cc1,100000.0
CHEMBL4459758,COCCNC(CN1CCN(c2cnccn2)CC1)c1ccc(F)cc1,100000.0
CHEMBL4460137,O=S(=O)(c1ccccc1)N1CCN(CC(NCc2ccccn2)c2ccc(F)cc2)CC1,100000.0
CHEMBL4474959,Fc1cccc(C(CN2CCN(c3cnccn3)CC2)NCc2ccccn2)c1,100000.0
CHEMBL4525275,Fc1ccccc1C(CN1CCN(c2cnccn2)CC1)NCc1ccccn1,100000.0
CHEMBL4452872,c1ccc(CNC(CN2CCN(c3cnccn3)CC2)c2ccncc2)nc1,100000.0
CHEMBL4536528,Fc1ccc(C(CN2CCN(c3ccccn3)CC2)NCc2ccccn2)cc1,100000.0
CHEMBL4542937,O=C(C1CCCO1)N1CCN(CC(NCc2ccccc2)c2ccc(F)cc2)CC1,100000.0
CHEMBL4519124,O=C(C1CCCO1)N1CCN(CC(NCc2cccs2)c2ccc(F)cc2)CC1,100000.0
CHEMBL4518470,COCCNC(CN1CCN(C(=O)C2CCCO2)CC1)c1ccc(F)cc1,100000.0
CHEMBL4440008,CC(=O)N1CCN(CC(NCc2ccccn2)c2ccc(F)cc2)CC1,100000.0
CHEMBL4582145,c1ccc(C(CN2CCN(c3cnccn3)CC2)NCc2ccccn2)cc1,100000.0
CHEMBL4581652,O=C(c1ccccn1)N1CCN(CC(NCc2ccccn2)c2ccc(F)cc2)CC1,100000.0
CHEMBL4561217,COc1ccccc1C(=O)N1CCN(CC(NCc2ccccn2)c2ccc(F)cc2)CC1,50000.0
CHEMBL4443359,CN(CCN(C)c1cnccn1)CC(NCc1ccccn1)c1ccc(F)cc1,50000.0
CHEMBL4470293,NC(CN1CCN(c2cnccn2)CC1)c1ccc(F)cc1,100000.0
CHEMBL4582252,NC(CN1CCN(C(=O)C2CCCO2)CC1)c1ccc(F)cc1,100000.0
CHEMBL4461599,c1ccc(C(CN2CCC(N3CCCCC3)CC2)N2CCN(c3ccccn3)CC2)cc1,100000.0
CHEMBL4469335,c1ccc(C(CN2CCC(N3CCCCC3)CC2)N2CCN(c3cnccn3)CC2)cc1,100000.0
CHEMBL4455978,c1ccc(C(CN2CCC(N3CCCCC3)CC2)N2CCN(CC3CCCO3)CC2)cc1,50000.0
CHEMBL4584150,COCCC1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4458452,O=C(C1CCCO1)N1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4448844,COCCN1CCN(C(CN2CCC(N3CCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4445840,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(F)cc2)CC1,50000.0
CHEMBL4450267,COCCN1CCN(C(CN2CCC(N3CCOCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4469699,COCCN1CCN(C(CN2CCN(c3ccccc3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4461176,COCCN1CCN(C(CN2CCCCC2)c2ccccc2)CC1,100000.0
CHEMBL4459305,COc1ccc(CNC(CN2CCCCC2)c2ccccc2)cc1,100000.0
CHEMBL4459328,c1ccc(C(CN2CCCCC2)NCCN2CCOCC2)cc1,100000.0
CHEMBL4452719,COCCN1CCN(C(CN2CCOCC2)c2ccccc2)CC1,100000.0
CHEMBL4462852,CC(C)N1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4445030,CCCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4467148,c1ccc(C(CN2CCC(N3CCCCC3)CC2)N2CCN(C3CCCC3)CC2)cc1,100000.0
CHEMBL4551798,CCOCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4450184,COCCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4551524,c1ccc(C(CN2CCC(N3CCCCC3)CC2)N2CCN(CCn3ccnc3)CC2)cc1,100000.0
CHEMBL4541151,CCN(CC)CCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4524930,COCCN1CCN(C(CN2CCC(N(C)C)CC2)c2ccccc2)CC1,50000.0
CHEMBL4448707,CCN(CC)C1CCN(CC(c2ccccc2)N2CCN(CCOC)CC2)CC1,50000.0
CHEMBL4546754,COCCN1CCN(C(CN2CCC(Nc3ccccc3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4475088,COCCN1CCN(C(CN2CCC(N3CCC(C)CC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4556767,COCCN1CCN(C(CN2CCC(N3CCN(C)CC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4456675,COCCN1CCN(C(CN2CCC(NC(=O)c3ccccc3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4457568,COCCN1CCN(C(CN2CCC(NC(=O)C3CCCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4534057,COCCN1CCN(C(CN2CCC(NC(=O)C(C)C)CC2)c2ccccc2)CC1,100000.0
CHEMBL4469259,COCCN1CCN(C(CN2CCC(NC(C)=O)CC2)c2ccccc2)CC1,100000.0
CHEMBL4451713,CCOC(=O)C1CCN(CC(c2ccccc2)N2CCN(CCOC)CC2)CC1,100000.0
CHEMBL4438270,COCCN1CCN(C(CN2CCC(C(=O)Nc3ccccc3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4466353,CNC(=O)C1CCN(CC(c2ccccc2)N2CCN(CCOC)CC2)CC1,100000.0
CHEMBL4450989,COCCN1CCN(C(CN2CCC(C(=O)NC3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4532878,COCCN1CCCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4538694,COCCN1CCN(C(CN2CCC(C3CCCCC3)CC2)c2ccccc2)CC1,100000.0
CHEMBL4435213,COCCN1CCN(C(CN2CCC(NC3CCCC3)CC2)c2ccccc2)CC1,50000.0
CHEMBL4540027,CCOc1ccc(C(CN2CCC(N3CCCCC3)CC2)N2CCN(CCOC)CC2)cc1,100000.0
CHEMBL4445167,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(OC(C)C)cc2)CC1,100000.0
CHEMBL4554825,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(OC)cc2)CC1,50000.0
CHEMBL4455373,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(C)cc2)CC1,50000.0
CHEMBL4536736,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2cccc(OC)c2)CC1,100000.0
CHEMBL4553162,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2cccc(Cl)c2)CC1,100000.0
CHEMBL4549745,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccccc2Cl)CC1,100000.0
CHEMBL4440693,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(C#N)cc2)CC1,50000.0
CHEMBL4565420,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(C(F)(F)F)cc2)CC1,50000.0
CHEMBL4450988,COCCN1CCN(C(CN2CCC(N3CCCCC3)CC2)c2ccc(Cl)cc2)CC1,100000.0
CHEMBL4515888,Nc1nc(N/N=C/c2ccc(O)cc2O)nc(N2CCOCC2)n1,50000.0
CHEMBL4559843,Oc1ccccc1CCNc1nc(N2CCOCC2)nc(N2CCOCC2)n1,50000.0
CHEMBL4558282,COc1cnc(CN)nc1NC(C)C,50000.0
